CDS	AT/GC	Sites
ENSG00000179008.ali	2.107538561807517	1782
ENSG00000240720.ali	2.0584397257317417	2610
ENSG00000198865.ali	2.0413658536585366	789
ENSG00000162620.ali	2.0026547163837405	1869
ENSG00000203963.ali	1.9515530167797215	1320
ENSG00000198765.ali	1.9468235355092838	2946
ENSG00000151773.ali	1.9233506706816315	825
ENSG00000168491.ali	1.9070044052863435	2490
ENSG00000186714.ali	1.8985933392307597	3270
ENSG00000184434.ali	1.8944912467508064	1110
ENSG00000163440.ali	1.8929570895522387	723
ENSG00000221947.ali	1.848039514604549	1119
ENSG00000214842.ali	1.846844509030517	3510
ENSG00000123219.ali	1.8443260612210384	825
ENSG00000144362.ali	1.8370133153547952	723
ENSG00000213186.ali	1.832741328875888	1209
ENSG00000173890.ali	1.8304625984251968	1014
ENSG00000142856.ali	1.8267668716313672	540
ENSG00000148690.ali	1.8183453897844526	945
ENSG00000178852.ali	1.8162965888892024	2736
ENSG00000172139.ali	1.8144933609775464	3327
ENSG00000144034.ali	1.814178775869661	525
ENSG00000182645.ali	1.8111775927852931	777
ENSG00000197056.ali	1.8091685013068421	3465
ENSG00000196074.ali	1.8048216170572091	4623
ENSG00000198707.ali	1.8010481168246424	7437
ENSG00000178125.ali	1.796325239202531	996
ENSG00000205707.ali	1.7864460204885737	270
ENSG00000153140.ali	1.782140721546741	501
ENSG00000162669.ali	1.778819512948301	4326
ENSG00000182050.ali	1.7782631328791616	1437
ENSG00000127083.ali	1.7772074193633742	1287
ENSG00000122417.ali	1.7764659012712325	1926
ENSG00000138182.ali	1.7764362561526996	5460
ENSG00000133863.ali	1.775775130118009	9231
ENSG00000214367.ali	1.775574940523394	1809
ENSG00000133640.ali	1.773108922106649	5013
ENSG00000183035.ali	1.7715042422537852	2019
ENSG00000006634.ali	1.768433696061383	2058
ENSG00000249961.ali	1.765366033684493	2193
ENSG00000129534.ali	1.7621548535606932	3483
ENSG00000104432.ali	1.7571076636260736	525
ENSG00000122432.ali	1.7570470766347055	1305
ENSG00000104047.ali	1.7560749740702326	912
ENSG00000127337.ali	1.7557740026722657	681
ENSG00000122483.ali	1.754570971586276	4371
ENSG00000166960.ali	1.7543089148327777	2487
ENSG00000180116.ali	1.751173219313797	1977
ENSG00000150782.ali	1.747813578826237	585
ENSG00000138385.ali	1.7471763683753259	1221
ENSG00000064933.ali	1.7461277056810067	2808
ENSG00000164136.ali	1.7448218146314247	486
ENSG00000174842.ali	1.7428255228209433	1812
ENSG00000132855.ali	1.7413683091102445	1383
