CDS	AT/GC	Sites
ENSG00000179008.ali	3.428842504743833	1782
ENSG00000186687.ali	3.283557046979866	312
ENSG00000151773.ali	3.201219512195122	825
ENSG00000213186.ali	3.0337410375369043	1209
ENSG00000117335.ali	2.9693053311793216	951
ENSG00000171204.ali	2.9162995594713657	690
ENSG00000148950.ali	2.903244837758112	498
ENSG00000155008.ali	2.825910931174089	807
ENSG00000006634.ali	2.7903014416775886	2058
ENSG00000183395.ali	2.7803468208092488	501
ENSG00000136122.ali	2.770194113963682	1695
ENSG00000163116.ali	2.7486595174262733	1401
ENSG00000133863.ali	2.7408014998828216	9231
ENSG00000171202.ali	2.719582850521437	594
ENSG00000188992.ali	2.6997304582210244	1323
ENSG00000180116.ali	2.6731517509727625	1977
ENSG00000163440.ali	2.636952380952381	723
ENSG00000122566.ali	2.6307229980555062	1059
ENSG00000152670.ali	2.6301564722617354	2196
ENSG00000178460.ali	2.62030623405031	2046
ENSG00000198157.ali	2.6194029850746268	1053
ENSG00000214842.ali	2.605769230769231	3510
ENSG00000162613.ali	2.591307497283593	1980
ENSG00000104427.ali	2.5865707434052756	978
ENSG00000153975.ali	2.54990257631522	1737
ENSG00000138081.ali	2.5448351868550247	2550
ENSG00000156313.ali	2.525152194809356	3162
ENSG00000143971.ali	2.518472906403941	2715
ENSG00000151332.ali	2.5124192747143566	1032
ENSG00000171033.ali	2.5042087542087543	228
ENSG00000188010.ali	2.485549132947977	237
ENSG00000136929.ali	2.484536082474227	1692
ENSG00000101773.ali	2.48390263054574	2709
ENSG00000111605.ali	2.4823652225784802	1767
ENSG00000171502.ali	2.480812082198564	5157
ENSG00000168542.ali	2.47723609991942	4416
ENSG00000180479.ali	2.4768447837150127	2538
ENSG00000104497.ali	2.4686664686664685	1032
ENSG00000180881.ali	2.456457719814893	1809
ENSG00000165805.ali	2.455302366345311	1266
ENSG00000168491.ali	2.4529091670154877	2490
ENSG00000144320.ali	2.450687146321746	1290
ENSG00000100852.ali	2.450362552674538	4512
ENSG00000064199.ali	2.4459861248761148	462
ENSG00000240720.ali	2.445168295331162	2610
ENSG00000114416.ali	2.441984858459513	2037
ENSG00000162620.ali	2.4352194606028554	1869
ENSG00000162604.ali	2.428406020841374	612
ENSG00000145241.ali	2.425765189584285	2853
ENSG00000172404.ali	2.4134897360703813	945
ENSG00000180336.ali	2.4094972067039104	2814
ENSG00000167904.ali	2.407672430928245	990
ENSG00000048405.ali	2.402189595179496	2004
ENSG00000075292.ali	2.389581335890061	6003
ENSG00000138035.ali	2.3839763177998474	2361
ENSG00000120686.ali	2.372718539865514	249
ENSG00000136758.ali	2.359483697929763	2151
ENSG00000133739.ali	2.3543885971492875	3081
ENSG00000068796.ali	2.351630610268001	2232
ENSG00000169989.ali	2.348249669749009	1539
ENSG00000186714.ali	2.331646555079798	3270
ENSG00000169139.ali	2.3263019116677652	435
ENSG00000153140.ali	2.325979680696662	501
ENSG00000122432.ali	2.322877230935641	1305
ENSG00000145309.ali	2.32171581769437	1197
ENSG00000113356.ali	2.3196640316205532	675
ENSG00000162924.ali	2.315580429680448	1788
ENSG00000197953.ali	2.3149606299212597	1203
ENSG00000156500.ali	2.3118279569892475	597
ENSG00000198146.ali	2.3063735377168215	2118
ENSG00000092140.ali	2.30335411101217	2124
ENSG00000135316.ali	2.289768214311503	1869
ENSG00000121931.ali	2.288921071687183	2307
ENSG00000146410.ali	2.288564850345357	1083
ENSG00000152430.ali	2.286217948717949	861
ENSG00000096746.ali	2.2857529794149514	1041
ENSG00000081320.ali	2.283690587138863	1116
ENSG00000113810.ali	2.283132530120482	3870
ENSG00000159593.ali	2.2826271700861964	1614
ENSG00000203877.ali	2.2818791946308723	288
ENSG00000110318.ali	2.2810114503816794	3324
ENSG00000071794.ali	2.2805025368446485	3048
ENSG00000151962.ali	2.2798400913763563	1599
ENSG00000138382.ali	2.2742890995260665	627
ENSG00000106013.ali	2.268022181146026	768
ENSG00000127337.ali	2.2654764664966383	681
ENSG00000101596.ali	2.2619306466729148	6015
ENSG00000185480.ali	2.261652201864352	1740
ENSG00000198160.ali	2.2610371022789826	1686
ENSG00000163714.ali	2.25983869400447	3090
ENSG00000188153.ali	2.2568687715376736	5082
ENSG00000060718.ali	2.252668596147263	5301
ENSG00000107758.ali	2.2487726501829868	1497
ENSG00000100567.ali	2.2482928679817906	765
ENSG00000105792.ali	2.247128566135606	2826
ENSG00000003436.ali	2.245833333333333	930
ENSG00000137033.ali	2.2426303854875282	753
ENSG00000115421.ali	2.238047268500581	2226
ENSG00000163281.ali	2.2362839614373358	828
ENSG00000091140.ali	2.235924602685721	1527
ENSG00000187689.ali	2.232394366197183	636
ENSG00000205707.ali	2.231380337636544	270
ENSG00000197056.ali	2.2311557788944723	3465
ENSG00000101745.ali	2.229064039408867	6216
ENSG00000053770.ali	2.224539380441385	1467
ENSG00000136866.ali	2.224052718286656	1821
ENSG00000172139.ali	2.2227994227994228	3327
